Date,Title,Tickers,Sentiment,Global Sentiment,Pct_Change
2010-01-05,Analysts Question Sustainability of Post-Stimulus GDP Growth,"[""['ACWI']""]",{'ACWI': 1},1,{'ACWI': 0.008341453234339102}
2010-01-05,"MSCI World Index Up, Emerging Markets Index Hits New High","[""['ACWI', 'EEM']""]","{'ACWI': 1, 'EEM': 1}",1,"{'ACWI': 0.008341095348623373, 'EEM': 0.007258110187381206}"
2010-01-05,Energy Stock Indexes Rise in Resource-Rich Countries,"[""['^GSPC', '^GSPTSE', '^AXJO', '^BSESN', '^BVSP', '^MXX', '^RUT', '^HSI', '^N225', '^JKSE', '^KLSE', '^NZ50', '^STI', '^KS11', '^TWII', '^GSPTSE']""]","{'^GSPC': 1, '^GSPTSE': 0, '^AXJO': 1, '^BSESN': 1, '^BVSP': 0, '^MXX': 0, '^RUT': 0, '^HSI': 1, '^N225': 0, '^JKSE': 1, '^KLSE': 1, '^NZ50': 1, '^STI': 1, '^KS11': 0, '^TWII': 0}",1,"{'^GSPC': 0.0031156756258232665, '^GSPTSE': 0.0017864158332994151, '^AXJO': 0.009843529299379483, '^BSESN': 0.007261901186531361, '^BVSP': 0.0027839246198873013, '^MXX': -0.0007866510433500729, '^RUT': -0.0025152092063255305, '^HSI': 0.020908900767967475, '^N225': 0.002537829367201594, '^JKSE': 0.01159581499175455, '^KLSE': 0.009790311765138116, '^NZ50': 0.011776555334134464, '^STI': 0.008889112309240277, '^KS11': -0.003254459822642719, '^TWII': 0.0004326096798199508}"
2010-01-05, Cadbury Shares Fall After Berkshire Hathaway Votes Against Kraft Share Issue,"[""['CBRY', 'BRK-A']""]",{'BRK-A': 0},0,{'BRK-A': 0.0011044176706827002}
2010-01-05, Yen Strengthens Against Major Currencies Amid Exporter Activity,"[""['EWJ']""]",{'EWJ': 1},1,{'EWJ': 0.006005942059239988}
2010-01-05, Dollar Index Shows Minor Gains After Fluctuations,"[""['DXY']""]",{'DXY': 1},1,{'DXY': 0.03066126309244921}
2010-01-05, Crude Oil Nears 14-Month High as Cold Weather Boosts Demand,"[""['CL=F']""]",{'CL=F': 0},0,{'CL=F': 0.003189725187362935}
2010-01-05, Refined Sugar Prices Reach Highest Since 1989 on Crop Concerns,"[""['SGGFF']""]",{'SGGFF': 0},0,{'SGGFF': 0.0010313501530156977}
2010-01-06,Metals and Energy Commodities Rally Amid Icy Weather Conditions,"[""['XME', 'XLE']""]","{'XME': 1, 'XLE': 1}",1,"{'XME': 0.03927255366750537, 'XLE': 0.011974549799807388}"
2010-01-06,"Crude Oil Climbs for 10th Consecutive Day, Longest Streak Since 1996","[""['CL=F']""]",{'CL=F': 1},1,{'CL=F': 0.01724353332511641}
2010-01-06,Treasuries Fall as Federal Reserve Considers Additional Economic Stimulus,"[""['^GSPC']""]",{'^GSPC': 0},0,{'^GSPC': 0.0005455206301101523}
2010-01-06,"Copper Reaches Highest Price Since August 2008, Aluminum Hits 15-Month High","[""['HG=F']""]",{'HG=F': 1},1,{'HG=F': 0.0239988385167611}
2010-01-06,"Natural Gas Surges 6.6 Percent, Crude Oil Reaches 14-Month High Above $83","[""['NG=F', 'CL=F']""]","{'NG=F': 1, 'CL=F': 1}",1,"{'NG=F': 0.06599250222853903, 'CL=F': 0.01724353332511641}"
2010-01-06,"U.S. May Experience Worst Winter in 25 Years, Impacting Energy Prices","[""['SPY']""]",{'SPY': 0},0,{'SPY': 0.0007040723977158603}
2010-01-06,"S&P 500 Closes at 15-Month High, Awaits U.S. Jobs Report and Earnings Season","[""['^GSPC']""]",{'^GSPC': 0},0,{'^GSPC': 0.0005455206301101523}
2010-01-06,S&P 500 Valuation Reaches Most Expensive Level Since 2002,"[""['^GSPC']""]",{'^GSPC': 0},0,{'^GSPC': 0.0005455206301101523}
2010-01-06,U.S. Service Industries Expand Less Than Forecast in December,"[""['SPY']""]",{'SPY': 0},0,{'SPY': 0.0007040723362277124}
2010-01-06," Dollar Index Slips, Canadian Dollar Strengthens Against U.S. Currency","[""['DXY', 'CAD=X']""]","{'DXY': 0, 'CAD=X': -1}",-1,"{'DXY': 0.0, 'CAD=X': -0.007311159067509232}"
2010-01-06, Platinum Futures Rise 1.8 Percent After U.S. Auto Sales Increase,"[""['PL=F']""]",{'PL=F': 1},1,{'PL=F': 0.013979554259964999}
2010-01-06," Treasuries Drop for First Time in Three Days, Mortgage Bond Yields Fall","[""['^TNX']""]",{'^TNX': 1},1,{'^TNX': 0.01411450643990464}
2010-01-06, Federal Reserve Debates Increasing Asset Purchases in December Meeting,"[""['SPY']""]",{'SPY': 0},0,{'SPY': 0.0007044218496532473}
2010-01-06, German 10-Year Bond Yields Near Three-Month High After Bond Sale,"[""['EWG']""]",{'EWG': 1},1,{'EWG': 0.006143022162967249}
2010-01-06," Financial Companies Issue $23.8 Billion in Bonds, Largest Since February 2009","[""['XLF']""]",{'XLF': 0},0,{'XLF': 0.002005329672981171}
2010-01-06, Yen Weakens as Asian Stock Gains Spur Demand for Higher-Yielding Assets,"[""['^N225']""]",{'^N225': 1},1,{'^N225': 0.004645282393053174}
2010-01-06, Marks & Spencer Group Plc Shares Fall 6.8 Percent After Sales Miss Estimates,"[""['MKS.L']""]",{'MKS.L': -1},-1,{'MKS.L': -0.0679183844475042}
2010-01-07,U.S. Stocks and Dollar Rise Amid Easing Real-Estate Concerns,"[""['SPY', 'UUP']""]","{'SPY': 1, 'UUP': 1}",1,"{'SPY': 0.004221286892952092, 'UUP': 0.006564503074568462}"
2010-01-07,Emerging Market Equities and Commodities Fall as China Curbs Lending,"[""['EEM', 'DBC']""]","{'EEM': 0, 'DBC': -1}",-1,"{'EEM': -0.0057992546868838035, 'DBC': -0.012441681380754188}"
2010-01-07,"S&P 500 Hits 15-Month High, Climbing 0.4 Percent","[""['^GSPC']""]",{'^GSPC': 1},1,{'^GSPC': 0.00400120187417663}
2010-01-07,"Dollar Strengthens, Affecting Commodity Prices","[""['UUP', 'DBC']""]","{'UUP': 1, 'DBC': -1}",0,"{'UUP': 0.006564503681439682, 'DBC': -0.012441599819548066}"
2010-01-07,Shanghai Composite Index Experiences 1.9 Percent Plunge,"[""['000001.SS']""]",{'000001.SS': -1},-1,{'000001.SS': -0.018879885725131884}
2010-01-07,Global Central Banks Signal Potential End to Recession Measures,"[""['ACWI']""]",{'ACWI': 0},0,{'ACWI': -0.004826410697671313}
2010-01-07,Zions Bancorporation Leads Financial Shares Surge in S&P 500,"[""['ZION']""]",{'ZION': 1},1,{'ZION': 0.11200018425318237}
2010-01-07, S&P 500 Valuation Reaches Highest Level Since 2002,"[""['^GSPC']""]",{'^GSPC': 1},1,{'^GSPC': 0.00400120187417663}
2010-01-07," U.S. TIPS Breakeven Rate Widens, Signaling Inflation Expectations","[""['ACWI']""]",{'ACWI': 0},0,{'ACWI': -0.0048262939073921984}
2010-01-07, Australian Dollar Gains on Retail Sales Data,"[""['EWA']""]",{'EWA': 0},0,{'EWA': -0.004606081433332854}
2010-01-07, Czech Central Bank May Increase Interest Rates in Second Half,"[""['EZU']""]",{'EZU': 0},0,{'EZU': -0.004643914682652905}
2010-01-07, MSCI Emerging Markets Index Falls from Peak Valuations,"[""['EEM']""]",{'EEM': 0},0,{'EEM': -0.005799195314523331}
2010-01-07, Copper and Other Metals Prices Decline in New York,"[""['HG=F']""]",{'HG=F': -1},-1,{'HG=F': -0.018979147509765038}
2010-01-07, Gold and Crude Oil Prices Retreat in Commodity Markets,"[""['GLD', 'USO']""]","{'GLD': -1, 'USO': 0}",-1,"{'GLD': -0.006187807624317698, 'USO': -0.006102025690779556}"
2010-01-07, Japanese Finance Minister Signals Preference for Weaker Yen,"[""['EWJ']""]",{'EWJ': -1},-1,{'EWJ': -0.008919686987465814}
2010-01-07, U.S. Job Losses Expected to Halt for First Time Since 2007,"[""['SPY']""]",{'SPY': 1},1,{'SPY': 0.004221375268924854}
2010-01-08,U.S. Dollar Declines as Job Cuts Fuel Economic Recovery Concerns,"[""['SPY']""]",{'SPY': 1},1,{'SPY': 0.003327725422503036}
2010-01-08,Treasuries Rise Following Unexpected U.S. Job Losses,"[""['^GSPC']""]",{'^GSPC': 0},0,{'^GSPC': 0.0028817272914287706}
2010-01-08,U.S. Stocks Rally Amid Corporate Profit Optimism,"[""['^GSPC']""]",{'^GSPC': 0},0,{'^GSPC': 0.0028817272914287706}
2010-01-08,Dollar Index Drops 0.6 Percent Against Major Currencies,"[""['UUP']""]",{'UUP': -1},-1,{'UUP': -0.006956574929052439}
2010-01-08,Treasury Yields Fall as Economic Recovery Remains Uncertain,"[""['^TNX']""]",{'^TNX': 0},0,{'^TNX': -0.0036629876679831197}
2010-01-08,"S&P 500 Recovers Losses, Driven by UPS Profit Forecast and Alcoa Gains","[""['UPS', 'SPY']""]","{'UPS': 1, 'SPY': 1}",1,"{'UPS': 0.04807539565656338, 'SPY': 0.0033278998087853395}"
2010-01-08,"U.S. Job Market Contracts with 85,000 Jobs Lost in December","[""['SPY']""]",{'SPY': 1},1,{'SPY': 0.003328073905905171}
2010-01-08,Fed's Rosengren Suggests High Unemployment Justifies Continued Low Interest Rates,"[""['SPY']""]",{'SPY': 1},1,{'SPY': 0.0033276388077543295}
2010-01-08,"Wholesaler Inventories Surge, Hinting at Increased Orders and Sales","[""['ACWI']""]",{'ACWI': 1},1,{'ACWI': 0.006235920387296812}
2010-01-08, Fed Funds Futures Indicate Reduced Likelihood of Interest Rate Hike by June,"[""['SPY']""]",{'SPY': 1},1,{'SPY': 0.0033271165166892658}
2010-01-08, Dollar Weakens Against Yen and Most-Traded Counterparts,"[""['USDJPY=X', 'ACWI']""]","{'USDJPY=X': -1, 'ACWI': 1}",0,"{'USDJPY=X': -0.007816637030838014, 'ACWI': 0.006235920387296812}"
2010-01-08, Two-Year Treasury Note Yields Experience Largest Drop Since December,"[""['^TNX']""]",{'^TNX': 0},0,{'^TNX': -0.0036629876679831197}
2010-01-08, Yield Spread Between 2- and 10-Year Notes Nears Record Levels,"[""['^TNX']""]",{'^TNX': 0},0,{'^TNX': -0.0036629876679831197}
2010-01-08, U.S. Prepares for Multiple Treasury Auctions in January,"[""['^GSPC']""]",{'^GSPC': 0},0,{'^GSPC': 0.0028817272914287706}
2010-01-08, S&P 500 Hits Highest Level Since October 2008,"[""['^GSPC']""]",{'^GSPC': 0},0,{'^GSPC': 0.0028817272914287706}
2010-01-08," VIX Falls to 20-Month Low, Signaling Decreased Market Volatility","[""['^VIX']""]",{'^VIX': -1},-1,{'^VIX': -0.04879330174366292}
2010-01-08, UPS Shares Surge After Profit Exceeds Estimates,"[""['UPS']""]",{'UPS': 1},1,{'UPS': 0.04807507630517116}
2010-01-08, Alcoa Shares Climb Ahead of Fourth-Quarter Earnings Report,"[""['AA']""]",{'AA': 1},1,{'AA': 0.024683810667152972}
2010-01-11,U.S. Dollar Declines Amid Reduced Bets on Interest Rate Increase,"[""['^GSPC']""]",{'^GSPC': 0},0,{'^GSPC': 0.0017467554316374923}
2010-01-11,Treasury Two-Year Notes Gain as Rate Hike Expectations Diminish,"[""['^TNX']""]",{'^TNX': 0},0,{'^TNX': 0.0026260478552659894}
2010-01-11,Dollar Index Falls to 76.962 Against Major Currencies,"[""['UUP']""]",{'UUP': -1},-1,{'UUP': -0.005253773296884479}
2010-01-11,Copper and Gold Prices Rise as Dollar Weakens,"[""['HG=F', 'GC=F', 'DX-Y.NYB']""]","{'HG=F': 1, 'GC=F': 1, 'DX-Y.NYB': -1}",1,"{'HG=F': 0.011953933139492667, 'GC=F': 0.010982253150801924, 'DX-Y.NYB': -0.0060668802542567235}"
2010-01-11,S&P 500 Index Experiences Fluctuations Amid Mixed Market Signals,"[""['^GSPC']""]",{'^GSPC': 0},0,{'^GSPC': 0.0017467554316374923}
2010-01-11,Fed Futures Indicate Lower Expectations for Rate Hikes in June and August,"[""['SPY']""]",{'SPY': 0},0,{'SPY': 0.0013967649033153062}
2010-01-11,Treasury Yield Spread Hits Record as TIPS Auction Commences,"[""['^TNX', 'TIP']""]","{'^TNX': 0, 'TIP': -1}",-1,"{'^TNX': 0.0026260478552659894, 'TIP': -0.0021983383024390957}"
2010-01-11, Platinum Reaches 17-Month High Amid Precious Metals Uptick,"[""['PPLT']""]",{'PPLT': 0},0,{'PPLT': 0.007610105118661448}
2010-01-11, U.S. Consumer Shares Fall After Venezuelan Bolivar Devaluation,"[""['SPY', 'ICLN']""]","{'SPY': 0, 'ICLN': 0}",0,"{'SPY': 0.0013968518819909015, 'ICLN': 0.006286558183088431}"
2010-01-11, Alcoa Inc. Rallies on Optimism for Fourth-Quarter Earnings,"[""['AA']""]",{'AA': 1},1,{'AA': 0.025264390714934137}
2010-01-11, Citigroup Inc. Shares Climb Following Positive Comments from Prince Alwaleed,"[""['C']""]",{'C': 1},1,{'C': 0.011142032841994887}
2010-01-11, Russian Ruble and Stocks Surge as Oil Prices Exceed $83 a Barrel,"[""['RUB=X', 'MICEXINDEXCF.ME', 'CL=F']""]","{'RUB=X': -1, 'CL=F': 0}",-1,"{'RUB=X': -0.01849258400531084, 'CL=F': -0.0027794967605268006}"
2010-01-11, European Shares Retreat from 15-Month High on Earnings Speculation,"[""['^STOXX']""]",{'^STOXX': 0},0,{'^STOXX': -0.001311967377573775}
2010-01-12,S&P 500 Drops for First Time This Year Amid Economic Recovery Concerns,"[""['^GSPC']""]",{'^GSPC': -1},-1,{'^GSPC': -0.009381166148364262}
2010-01-12,European Stocks Fall Sharply; Bonds Rally,"[""['VGK']""]",{'VGK': -1},-1,{'VGK': -0.014578367666170045}
2010-01-12,Yields on 10-Year Treasuries and German Bunds Decline,"[""['^TNX', '^BUND']""]",{'^TNX': -1},-1,{'^TNX': -0.025929799655335928}
2010-01-12,Yen Strengthens Across Major Currencies; Crude Oil Prices Fall,"[""['FXY', 'CL=F']""]","{'FXY': 1, 'CL=F': -1}",0,"{'FXY': 0.012531313766400265, 'CL=F': -0.02096456371686517}"
2010-01-12,Alcoa Inc.'s Earnings Miss Analyst Estimates; Shares Tumble,"[""['AA']""]",{'AA': -1},-1,{'AA': -0.11060168356523437}
2010-01-12,Chevron Corp. Reports Lower Profitability; Stock Slips,"[""['CVX']""]",{'CVX': 0},0,{'CVX': -0.005811075241187291}
2010-01-12,Intel Corp. and JPMorgan Chase & Co. Set to Report Earnings,"[""['INTC', 'JPM']""]","{'INTC': -1, 'JPM': -1}",-1,"{'INTC': -0.016229380442171926, 'JPM': -0.023354853963265643}"
2010-01-12, Analysts Predict S&P 500 Companies' Profits Surged 62% in Fourth Quarter,"[""['^GSPC']""]",{'^GSPC': -1},-1,{'^GSPC': -0.009381166148364262}
2010-01-12, MSCI World Index Drops; European Companies Norsk Hydro and Beiersdorf Fall,"[""['ACWI', 'EZU']""]","{'ACWI': -1, 'EZU': -1}",-1,"{'ACWI': -0.012542712669034062, 'EZU': -0.014555590915286687}"
2010-01-12, Air France-KLM Shares Decline Amid Japan Airlines Bankruptcy Speculation,"[""['AF.PA', 'EWJ']""]","{'AF.PA': -1, 'EWJ': 1}",0,"{'AF.PA': -0.023886663454626755, 'EWJ': 0.006855910122039344}"
2010-01-12, U.S. Sells $40 Billion in Three-Year Notes at Record-Tying Auction,"[""['^GSPC']""]",{'^GSPC': -1},-1,{'^GSPC': -0.009381166148364262}
2010-01-12," Credit-Default Swaps Index Rises, Indicating Lower Investor Confidence","[""['^GSPC']""]",{'^GSPC': -1},-1,{'^GSPC': -0.009381166148364262}
2010-01-12, MSCI Emerging Markets Index Falls; Bond Yields Rise on Reduced Indonesian Bond Sale,"[""['EEM', 'TLT']""]","{'EEM': -1, 'TLT': 1}",0,"{'EEM': -0.016005482206281618, 'TLT': 0.01711671055534758}"
2010-01-13,U.S. and European Stocks Rise on Earnings Optimism and Analyst Upgrades,"[""['SPY', 'VGK']""]","{'SPY': 1, 'VGK': 1}",1,"{'SPY': 0.008446289578340371, 'VGK': 0.013595079847409819}"
2010-01-13,Crude Oil Prices Decline Below $80 a Barrel Amid Inventory Gains,"[""['CL=F']""]",{'CL=F': -1},-1,{'CL=F': -0.014110649544866294}
2010-01-13,Treasuries Fall as U.S. Economy Shows Improvement in Most Regions,"[""['^GSPC']""]",{'^GSPC': 1},1,{'^GSPC': 0.008325925658531075}
2010-01-13,Dollar Weakens Against Major Currencies as Bonds and Oil Retreat,"[""['UUP', 'BND']""]","{'UUP': 0, 'BND': -1}",-1,"{'UUP': -0.0008803000235043656, 'BND': -0.002271700416985767}"
2010-01-13,Merck & Co. and Wyndham Worldwide Corp. Shares Surge on Buy Recommendations,"[""['MRK', 'WYND']""]",{'MRK': 1},1,{'MRK': 0.03675066776108449}
2010-01-13,MSCI Emerging Markets Index Drops as China Tightens Monetary Policy,"[""['EEM']""]",{'EEM': 0},0,{'EEM': 0.0030645116231389213}
2010-01-13,Shanghai Composite Index Experiences Largest Drop Since November,"[""['000001.SS']""]",{'000001.SS': -1},-1,{'000001.SS': -0.0309435417088455}
2010-01-13,Pound Strengthens on Speculation of UK Interest Rate Hikes,"[""['EWU']""]",{'EWU': 1},1,{'EWU': 0.007194403571491259}
2010-01-13,Financial and Healthcare Sectors Lead Gains in S&P 500,"[""['XLF', 'XLV']""]","{'XLF': 1, 'XLV': 1}",1,"{'XLF': 0.01132561547819333, 'XLV': 0.013236868151225378}"
2010-01-13, Real Estate Companies Rally Following Analyst Upgrades,"[""['IYR']""]",{'IYR': 1},1,{'IYR': 0.018705947588856242}
2010-01-13, Google Inc. Considers Exiting China After Cyber Attack,"[""['GOOGL']""]",{'GOOGL': 0},0,{'GOOGL': -0.005741106531873652}
2010-01-13, Foreign Central Banks Show Reduced Appetite for U.S. 10-Year Notes,"[""['ACWI']""]",{'ACWI': 1},1,{'ACWI': 0.008314245066925352}
2010-01-13," German GDP Contracts by 5% in 2009, Debt Auctions Continue in Europe","[""['EWG']""]",{'EWG': 1},1,{'EWG': 0.007908565005371404}
2010-01-13, Infineon Technologies AG Rises on Goldman Sachs Recommendation,"[""['IFNNY', 'GS']""]","{'IFNNY': 1, 'GS': 1}",1,"{'IFNNY': 0.045138814838922015, 'GS': 0.00744823538646}"
2010-01-13, Societe Generale SA Shares Decline After Announcing Asset Writedowns and Provisions,"[""['GLE.PA']""]",{'GLE.PA': -1},-1,{'GLE.PA': -0.028643362658983373}
2010-01-14,U.S. Stocks Rise as Technology Shares Gain Ahead of Intel Earnings,"[""['SPY']""]",{'SPY': 0},0,{'SPY': 0.002704000669073947}
2010-01-14,Unexpected Drop in Retail Sales Leads to Higher Treasury Prices,"[""['SPY']""]",{'SPY': 0},0,{'SPY': 0.002704347917181993}
2010-01-14,Euro Declines as ECB President Trichet Highlights Uncertain Regional Outlook,"[""['EXSA.DE']""]",{'EXSA.DE': 1},1,{'EXSA.DE': 0.005782436445466832}
2010-01-14,ECB Shortlists Buch and Delgado for Eurozone Bank Watchdog Role,"[""['^GDAXI']""]",{'^GDAXI': 1},1,{'^GDAXI': 0.004316475129479969}
2010-01-14,ECB Consumer Survey and Eurozone Producer Prices Scheduled for Release,"[""['EZU']""]",{'EZU': 0},0,{'EZU': 0.0020579773014886005}
2010-01-14,Euro Volatility Increases as Market Reacts to Data Reports,"[""['VGK']""]",{'VGK': 0},0,{'VGK': -0.0019722521392573356}
2010-01-14,"Eurozone Consumer Inflation Expectations Fall in May, ECB Reports","[""['ACWI']""]",{'ACWI': 0},0,{'ACWI': 0.002061305626890775}
2010-01-14,Upcoming FOMC Minutes Expected to Reveal Debate on Hawkish Policy Stance,"[""['SPY']""]",{'SPY': 0},0,{'SPY': 0.0027050410089377586}
2010-01-15,U.S. Stocks and Commodities Fall as Dollar and Treasuries Rise,"[""['SPY', 'DIA', 'QQQ', 'GLD', 'SLV', 'USO', 'UUP']""]","{'SPY': -1, 'DIA': -1, 'QQQ': -1, 'GLD': -1, 'SLV': -1, 'USO': -1, 'UUP': 1}",-1,"{'SPY': -0.011223910495379519, 'DIA': -0.009530396727775114, 'QQQ': -0.01164077633376559, 'GLD': -0.01044361493969348, 'SLV': -0.01419990368462054, 'USO': -0.016897076912634534, 'UUP': 0.0057422633211636764}"
2010-01-15,"JPMorgan Chase & Co. Retail Bank Reports Loss, Affecting Market Sentiment","[""['JPM']""]",{'JPM': -1},-1,{'JPM': -0.022600097394712804}
2010-01-15,"S&P 500 Drops 1.1 Percent, Moving Away from 15-Month High","[""['^GSPC']""]",{'^GSPC': -1},-1,{'^GSPC': -0.010823130159869354}
2010-01-15,"Dollar Strengthens Against Major Currencies, Euro Declines","[""['UUP']""]",{'UUP': 1},1,{'UUP': 0.005742170016265868}
2010-01-15,JPMorgan Shares Decrease by 2.3 Percent After Quarterly Results,"[""['JPM']""]",{'JPM': 0},0,{'JPM': -0.022600097394712804}
2010-01-15,ECB President Trichet's Comments Increase Concern Over Greek Debt,"[""['EWG']""]",{'EWG': -1},-1,{'EWG': -0.02307352983274047}
2010-01-15,"Euro Weakens Against Yen and Pound, Dollar Index Rises","[""['FXE', 'FXY', 'FXB', 'UUP']""]","{'FXE': -1, 'FXY': 1, 'FXB': -1, 'UUP': 1}",0,"{'FXE': -0.008358351554008991, 'FXY': 0.0025711549621083574, 'FXB': -0.004054278888966256, 'UUP': 0.005742076175604183}"
2010-01-15, MSCI Asia Pacific Index Reaches Highest Level Since August 2008,"[""['MSCI']""]",{'MSCI': -1},-1,{'MSCI': -0.02900273629010497}
2010-01-15, MSCI Emerging Markets Index Drops 0.3 Percent,"[""['EEM']""]",{'EEM': -1},-1,{'EEM': -0.011545802384173687}
2010-01-15, Oil Prices Decline for Fifth Consecutive Day,"[""['CL=F']""]",{'CL=F': -1},-1,{'CL=F': -0.01750849477685823}
2010-01-15, Soybeans Mark Biggest Weekly Decline Since September,"[""['ZS=F']""]",{'ZS=F': 0},0,{'ZS=F': 0.005678884873515644}
2010-01-18,Oil Prices Rise for First Time in Six Days Amid Demand Recovery Speculation,"[""['CL=F']""]",{'CL=F': -1},-1,{'CL=F': -0.01750849477685823}
2010-01-18,Copper Prices Increase on Positive Demand Outlook,"[""['HG=F']""]",{'HG=F': 0},0,{'HG=F': -0.0062203521617630875}
2010-01-18,Global Stocks and British Pound Gain on Economic Optimism,"[""['ACWI', 'EWU']""]","{'ACWI': -1, 'EWU': -1}",-1,"{'ACWI': -0.009828395812293445, 'EWU': -0.00949553090298294}"
2010-01-18,UK House Prices Show Increase in Recent Survey,"[""['EWU']""]",{'EWU': -1},-1,{'EWU': -0.009495820703412816}
2010-01-18,IMF's Strauss-Kahn Warns Against Early Withdrawal of Stimulus Packages,"[""['ACWI']""]",{'ACWI': -1},-1,{'ACWI': -0.009828859222547393}
2010-01-18,"Canadian S&P/TSX Composite Index Rises, Led by Energy Stocks","[""['^GSPTSE']""]",{'^GSPTSE': 1},1,{'^GSPTSE': 0.0055710208635408875}
2010-01-18,European Stocks Climb as Metals Prices Boost Basic-Resource Producers,"[""['VGK']""]",{'VGK': -1},-1,{'VGK': -0.02094826161431207}
2010-01-18," Brazil's Bovespa Index Up, Boosted by Petroleo Brasileiro SA","[""['^BVSP', 'PBR']""]","{'^BVSP': 1, 'PBR': 0}",1,"{'^BVSP': 0.00613239003740329, 'PBR': 0.005095534646223143}"
2010-01-18, Pound Strengthens as UK House Prices Increase in January,"[""['GBPUSD=X', '^FTSE']""]","{'GBPUSD=X': 1, '^FTSE': 1}",1,"{'GBPUSD=X': 0.0051022023085200985, '^FTSE': 0.00714888013676962}"
2010-01-18, MSCI Asia Pacific Index Falls After JPMorgan Chase Loss and US Consumer Confidence Miss,"[""['JPM']""]",{'JPM': -1},-1,{'JPM': -0.022600008658783644}
